provincescode,bpscode,provincesname
ID.NB.SU,5204,"Sumbawa, Kab."
ID.NB.DO,5205,"Dompu, Kab."
ID.NB.BI,5206,"Bima, Kab."
ID.NB.SB,5207,"Sumbawa Barat, Kab."
ID.NB.LU,5208,"Lombok Utara, Kab."
ID.NB.MA,5271,"Mataram, Kota"
ID.NB.BM,5272,"Bima, Kota"
ID.NT.SB,5301,"Sumba Barat, Kab."
ID.NT.ST,5302,"Sumba Timur, Kab."
ID.NT.KR,5303,"Kupang, Kab."
ID.NT.TS,5304,"Timor Tengah Selatan, Kab."
ID.NT.TU,5305,"Timor Tengah Utara, Kab."
ID.NT.BE,5306,"Belu, Kab."
ID.NT.AL,5307,"Alor, Kab."
ID.NT.LE,5308,"Lembata, Kab."
ID.NT.FT,5309,"Flores Timur, Kab."
ID.NT.SI,5310,"Sikka, Kab."
ID.NT.EN,5311,"Ende, Kab."
ID.NT.NG,5312,"Ngada, Kab."
ID.NT.MA,5313,"Manggarai, Kab."
ID.NT.RN,5314,"Rote Ndao, Kab."
ID.NT.MB,5315,"Manggarai Barat, Kab."
ID.NT.SU,5316,"Sumba Tengah, Kab."
ID.NT.SM,5317,"Sumba Barat Daya, Kab."
ID.NT.NA,5318,"Nagekeo, Kab."
ID.NT.MT,5319,"Manggarai Timur, Kab."
ID.NT.SR,5320,"Sabu Raijua, Kab."
ID.NT.ML,5321,"Malaka, Kab."
ID.NT.KP,5371,"Kupang, Kota"
ID.KB.SM,6101,"Sambas, Kab."
ID.KB.BE,6102,"Bengkayang, Kab."
ID.KB.LA,6103,"Landak, Kab."
ID.KB.PR,6104,"Pontianak, Kab."
ID.KB.SN,6105,"Sanggau, Kab."
ID.KB.KE,6106,"Ketapang, Kab."
ID.KB.SI,6107,"Sintang, Kab."
ID.KB.KH,6108,"Kapuas Hulu, Kab."
ID.KB.SE,6109,"Sekadau, Kab."
ID.KB.ME,6110,"Melawi, Kab."
ID.KB.KU,6111,"Kayong Utara, Kab."
ID.KB.KR,6112,"Kubu Raya, Kab."
ID.KB.PN,6171,"Pontianak, Kota"
ID.KB.SK,6172,"Singkawang, Kota"
ID.KT.KB,6201,"Kotawaringin Barat, Kab."
ID.KT.KT,6202,"Kotawaringin Timur, Kab."
ID.KT.KA,6203,"Kapuas, Kab."
ID.KT.BS,6204,"Barito Selatan, Kab."
ID.KT.BU,6205,"Barito Utara, Kab."
ID.KT.SU,6206,"Sukamara, Kab."
ID.KT.LA,6207,"Lamandau, Kab."
ID.KT.SE,6208,"Seruyan, Kab."
ID.KT.KG,6209,"Katingan, Kab."
ID.KT.PP,6210,"Pulang Pisau, Kab."
ID.KT.GM,6211,"Gunung Mas, Kab."
ID.KT.BT,6212,"Barito Timur, Kab."
ID.KT.MR,6213,"Murung Raya, Kab."
ID.KT.PR,6271,"Palangkaraya, Kota"
ID.KS.TL,6301,"Tanah Laut, Kab."
ID.KS.KB,6302,"Kota Baru, Kab."
ID.JR.BA,6303,"Banjar, Kab."
ID.KS.BK,6304,"Barito Kuala, Kab."
ID.KS.TP,6305,"Tapin, Kab."
ID.KS.HS,6306,"Hulu Sungai Selatan, Kab."
ID.KS.HT,6307,"Hulu Sungai Tengah, Kab."
ID.KS.HU,6308,"Hulu Sungai Utara, Kab."
ID.KS.TB,6309,"Tabalong, Kab."
ID.KS.TN,6310,"Tanah Bumbu, Kab."
ID.KS.BA,6311,"Balangan, Kab."
ID.KS.BM,6371,"Banjarmasin, Kota"
ID.KS.BB,6372,"Banjar Baru, Kota"
ID.KI.PA,6401,"Pasir, Kab."
ID.KI.KB,6402,"Kutai Barat, Kab."
ID.KI.KU,6403,"Kutai Kartanegara, Kab."
ID.KI.KT,6404,"Kutai Timur, Kab."
ID.KI.BE,6405,"Berau, Kab."
ID.KI.PP,6409,"Penajam Paser Utara, Kab."
ID.KI.MH,6411,"Mahakam Hulu, Kab."
ID.KI.BA,6471,"Balikpapan, Kota"
ID.KI.SA,6472,"Samarinda, Kota"
ID.KI.BO,6474,"Bontang, Kota"
ID.KI.MA,6501,"Malinau, Kab."
ID.KI.BU,6502,"Bulungan, Kab."
ID.KU.TT,6503,"Tana Tidung, Kab."
ID.KI.NU,6504,"Nunukan, Kab."
ID.KI.TA,6571,"Tarakan, Kota"
